symbol,price,price_change,price_percent_change
CELH,29.97,0.04,0.13
CALM,91.86,0.17,0.18
ASND,168.01,-0.83,-0.49
FINV,9.86,0.74,8.11
ENPH,62.44,-1.36,-2.13
DLO,9.43,0.01,0.05
QFIN,47.63,0.5,1.08
AEO,11.9,-0.12,-1.04
RNA,33.51,-0.33,-0.96
SGBAF,6.5,0.51,8.51
VRNA,66.28,-0.28,-0.42
TME,14.71,1.65,12.63
LION,8.19,0.6,7.91
RXRX,6.51,-0.34,-4.9
TAL,14.24,-0.07,-0.52
YOU,26.02,-0.35,-1.31
PBF,22.3,1.56,7.52
LITE,67.43,-0.88,-1.29
SAIC,109.49,-2.41,-2.15
HOOD,41.14,-0.88,-2.09
VEON,46.25,1.5,3.35
SSUMY,24.8,1.47,6.3
ORLA,9.5,0.26,2.81
AES,12.81,-0.24,-1.8
XIACY,38.21,1.24,3.35
