symbol,price,price_change,price_percent_change
HSAI,22.3,2.5,12.63
MHVIY,39.39,4.37,12.48
TXHPF,20.03,2.03,11.31
CELH,29.93,2.85,10.52
CALM,91.7,8.67,10.44
QBTS,11.21,1.06,10.45
ASND,168.84,15.86,10.37
ENPH,63.8,5.67,9.75
DLO,9.42,0.8,9.28
QFIN,47.13,3.94,9.12
AEO,12.04,0.98,8.86
BIDU,102.27,8.45,9.01
UEC,5.5,0.42,8.32
RNA,33.83,2.72,8.74
SGBAF,6.5,0.51,8.51
VRNA,66.56,5.17,8.42
TCOM,66.67,4.94,8.0
TAL,14.33,1.03,7.74
LION,8.19,0.6,7.91
NFE,9.99,0.73,7.88
TNXP,16.28,1.28,8.53
RXRX,6.84,0.49,7.72
CVI,20.69,1.46,7.59
MTSUY,18.9,1.32,7.51
YOU,26.38,1.86,7.59
